,EC Votes,Population (2016),"US Elections Project, VEP, 2016","Registered (2014): US Census, Tab4a,",EC vote per registered voter,,Dem,Rep,Lib,Gr,Ind,,,,,
AK,3,738432,519501,336000,8.9286E-06,WTA,0.3772,0.5289,0.0592,0.0180,,AK,,,,
AL,9,4858979,3606103,2366000,3.8039E-06,WTA,0.3455,0.6289,0.0211,0.0045,,AL,,,,
AR,6,2978204,2148441,1292000,0.000004644,WTA,0.3365,0.6059,0.0263,0.0084,1.17%,AR,,,,
AZ,11,6828065,4738332,2738000,4.0175E-06,WTA,0.4532,0.4964,0.0383,0.0121,,AZ,,,,
CA,55,39144818,25278803,14113000,3.8971E-06,WTA,0.6178,0.3280,0.0324,0.0176,,CA,,,,
CO,9,5456574,3978892,2654000,3.3911E-06,WTA,0.4691,0.4480,0.0500,0.0122,1.03%,CO,,,,
CT,7,3590886,2572337,1668000,4.1966E-06,WTA,0.5386,0.4173,0.0301,0.0141,0.10%,CT,,,,
DC,3,672228,516771,353000,8.4986E-06,WTA,0.9054,0.0402,0.0157,0.0139,,DC,,,,
DE,3,945934,693659,442000,6.7873E-06,WTA,0.5335,0.4192,0.0335,0.0138,,DE,,,,
FL,29,20271272,14601373,8691000,3.3368E-06,WTA,0.4779,0.4906,0.0220,0.0068,,FL,,,,
GA,16,10214860,6958725,4306000,3.7157E-06,WTA,0.4574,0.5120,0.0310,,,GA,,,,
HI,4,1431603,1029072,490000,8.1633E-06,WTA,0.6098,0.2944,0.0370,0.0291,,HI,,,,
IA,6,3123899,2297129,1584000,3.7879E-06,WTA,0.4171,0.5121,0.0377,0.0073,0.79%,IA,,,,
ID,4,1654930,1161211,671000,5.9613E-06,WTA,0.2746,0.5932,0.0410,0.0123,6.72%,ID,,,,
IL,20,12859995,8983758,5716000,0.000003499,WTA,0.5541,0.3941,0.0380,0.0138,,IL,,,,
IN,11,6619680,4860929,3048000,3.6089E-06,WTA,0.3787,0.5712,0.0492,0.0007,,IN,,,,
KS,6,2911641,2065761,1353000,4.4346E-06,WTA,0.3613,0.5722,0.0470,0.0198,,KS,,,,
KY,8,4425092,3276707,2298000,3.4813E-06,WTA,0.3269,0.6254,0.0279,0.0072,1.18%,KY,,,,
LA,8,4670724,3391431,2398000,3.3361E-06,WTA,0.3844,0.5809,0.0187,0.0069,0.42%,LA,,,,
